game_type,player1,player2,winner,seed,game_time
othello,mctsrave1000,mctsstrategy10000(mobility_strategy_vs),2,22025001,17709.84571671486
othello,random_strategy,mctsrave5000,2,22025001,737.0596787929535
othello,mcts10000,mctsstrategy10000(mobility_strategy_vs),1,22025001,20988.96344280243
othello,mctsrave10000,mctsstrategy2000(mobility_strategy),2,22025001,3751.616349697113
othello,random_strategy,mctsrave10000,2,22025001,1511.6776773929596
othello,random_strategy,mctsstrategy1000(mobility_strategy),2,22025001,1099.5052435398102
othello,random_strategy,mctsstrategy1000(mobility_strategy_vs),2,22025001,1918.5077769756317
othello,mctsrave5000,mctsstrategy5000(mobility_strategy_vs),2,22025001,10282.792735099792
othello,mobility_strategy_vs,mcts1000,2,22025001,156.19919395446777
othello,mctsrave10000,mctsstrategy2000(mobility_strategy_vs),2,22025001,5478.078354358673
othello,mobility_strategy_vs,mcts2000,2,22025001,311.60196685791016
othello,mobility_strategy_vs,mctsrave1000,2,22025001,154.40701341629028
othello,mobility_strategy_vs,mctsrave2000,1,22025001,292.23518228530884
othello,mobility_strategy_vs,mcts5000,1,22025001,764.5126640796661
othello,random_strategy,mctsstrategy2000(mobility_strategy),2,22025001,1926.8838605880737
othello,mobility_strategy_vs,random_strategy,1,22025001,0.14561033248901367
othello,mobility_strategy_vs,mobility_strategy_vs,1,22025001,0.2573120594024658
othello,mobility_strategy_vs,mobility_strategy,2,22025001,0.15358901023864746
othello,mobility_strategy_vs,mctsrave5000,2,22025001,734.3178179264069
othello,mobility_strategy_vs,mcts10000,2,22025001,1508.6685240268707
othello,mctsrave2000,mctsstrategy10000(mobility_strategy_vs),2,22025001,16747.751544475555
othello,mctsrave5000,mctsstrategy10000(mobility_strategy),2,22025001,10902.682101249695
othello,random_strategy,mctsstrategy2000(mobility_strategy_vs),2,22025001,3923.2438027858734
othello,mobility_strategy_vs,mctsrave10000,2,22025001,1463.346035003662
othello,mctsrave10000,mctsstrategy5000(mobility_strategy),2,22025001,6598.629834413528
othello,mobility_strategy_vs,mctsstrategy1000(mobility_strategy),2,22025001,958.0474727153778
othello,mobility_strategy_vs,mctsstrategy1000(mobility_strategy_vs),2,22025001,1641.4307219982147
othello,mobility_strategy,mcts1000,2,22025001,151.89823698997498
othello,mobility_strategy,mcts2000,2,22025001,309.1808588504791
othello,mobility_strategy,mcts5000,2,22025001,749.6866340637207
othello,mobility_strategy,mctsrave1000,1,22025001,154.29384589195251
othello,mobility_strategy,mctsrave2000,1,22025001,293.0567307472229
othello,mobility_strategy_vs,mctsstrategy2000(mobility_strategy),2,22025001,1948.52605509758
othello,mobility_strategy_vs,mctsstrategy2000(mobility_strategy_vs),2,22025001,3153.65966796875
othello,mobility_strategy,random_strategy,2,22025001,0.10027098655700684
othello,mobility_strategy,mobility_strategy_vs,2,22025001,0.16057062149047852
othello,mobility_strategy,mobility_strategy,2,22025001,0.13913297653198242
othello,mobility_strategy,mcts10000,2,22025001,1479.3282296657562
othello,random_strategy,mctsstrategy5000(mobility_strategy),2,22025001,5304.956801891327
othello,mobility_strategy,mctsrave5000,2,22025001,746.5819163322449
othello,mctsrave10000,mctsstrategy5000(mobility_strategy_vs),2,22025001,10436.210429906845
othello,mobility_strategy,mctsrave10000,2,22025001,1482.7696895599365
othello,mobility_strategy,mctsstrategy1000(mobility_strategy_vs),2,22025001,1587.7650005817413
othello,random_strategy,mctsstrategy5000(mobility_strategy_vs),2,22025001,7986.109082460403
othello,mobility_strategy,mctsstrategy1000(mobility_strategy),2,22025001,956.675936460495
othello,mobility_strategy_vs,mctsstrategy5000(mobility_strategy),2,22025001,4587.41335940361
othello,mctsrave10000,mctsstrategy10000(mobility_strategy),2,22025001,11403.862468957901
othello,mobility_strategy,mctsstrategy2000(mobility_strategy),2,22025001,1866.141671180725
othello,mobility_strategy,mctsstrategy2000(mobility_strategy_vs),2,22025001,3274.14905667305
othello,mctsstrategy1000(mobility_strategy_vs),mcts1000,1,22025001,2060.9553718566895
othello,mctsrave5000,mctsstrategy10000(mobility_strategy_vs),2,22025001,19150.560732603073
othello,mctsstrategy1000(mobility_strategy_vs),mcts2000,2,22025001,2304.7244186401367
othello,mobility_strategy,mctsstrategy5000(mobility_strategy),2,22025001,3239.015659570694
othello,mobility_strategy_vs,mctsstrategy5000(mobility_strategy_vs),2,22025001,7825.182568073273
othello,mctsstrategy1000(mobility_strategy_vs),mcts5000,2,22025001,2592.8117451667786
othello,random_strategy,mctsstrategy10000(mobility_strategy),2,22025001,10195.146614313126
othello,mctsstrategy1000(mobility_strategy_vs),mctsrave1000,1,22025001,2101.268518447876
othello,mctsstrategy1000(mobility_strategy_vs),mctsrave2000,1,22025001,2253.727293729782
othello,mctsstrategy1000(mobility_strategy_vs),mcts10000,1,22025001,3463.6402881145477
othello,mctsstrategy1000(mobility_strategy_vs),mobility_strategy_vs,1,22025001,1893.1915926933289
othello,mctsstrategy1000(mobility_strategy_vs),random_strategy,1,22025001,2082.7777168750763
othello,mctsstrategy1000(mobility_strategy_vs),mobility_strategy,1,22025001,1674.5481450557709
othello,mctsstrategy1000(mobility_strategy_vs),mctsrave5000,1,22025001,2776.764748096466
othello,mobility_strategy_vs,mctsstrategy10000(mobility_strategy),2,22025001,9350.467561006546
