game_type,player1,player2,winner,seed
othello,greedy,mctsstrategies1000(random_strategy:mobility_strategy),2,22021167
othello,alphabeta3,mapbaseheuothello,2,22021096
othello,greedy,random,2,22021115
hex,mctsstrategy1000(random_strategy),random,1,22021135
othello,mapbaseheuothello,mctsstrategy1000(random_strategy),2,22021084
othello,random,mctsrave1000,2,22021152
othello,mctsstrategy1000(random_strategy),random,2,22021120
hex,mctsstrategy1000(random_strategy),random,1,22021155
othello,mcts1000,greedy,1,22021093
othello,alphabeta3,mcts1000,2,22021162
hex,random,mctsstrategies1000(random_strategy:mobility_strategy),2,22021123
othello,mcts1000,mctsrave1000,2,22021083
othello,alphabeta3,mctsstrategy1000(random_strategy),2,22021093
othello,mctsstrategy1000(random_strategy),mctsrave1000,2,22021119
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021118
hex,mcts1000,mctsstrategy1000(random_strategy),1,22021107
othello,random,mctsstrategies1000(random_strategy:mobility_strategy),2,22021151
othello,random,alphabeta3,2,22021148
othello,mctsstrategies1000(random_strategy:mobility_strategy),mctsrave1000,2,22021087
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021159
othello,greedy,random,2,22021169
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),2,22021109
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021133
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021168
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021087
othello,mctsstrategy1000(random_strategy),greedy,1,22021082
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021124
hex,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021109
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021151
hex,mcts1000,alphabeta3,2,22021145
othello,mapbaseheuothello,mctsstrategy1000(random_strategy),2,22021167
hex,alphabeta3,random,1,22021075
hex,mctsstrategy1000(random_strategy),alphabeta3,1,22021082
othello,mcts1000,alphabeta3,2,22021075
othello,random,mcts1000,2,22021116
hex,alphabeta3,random,1,22021155
othello,mctsstrategy1000(random_strategy),greedy,1,22021117
hex,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,1,22021100
othello,alphabeta3,random,1,22021097
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021070
hex,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),1,22021070
hex,random,alphabeta3,1,22021157
othello,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,2,22021072
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),2,22021131
othello,mcts1000,alphabeta3,2,22021077
othello,mctsstrategy1000(random_strategy),greedy,1,22021153
othello,mctsrave1000,mctsrave1000,2,22021153
othello,greedy,mctsstrategies1000(random_strategy:mobility_strategy),2,22021152
hex,mctsstrategy1000(random_strategy),alphabeta3,1,22021148
othello,greedy,mcts1000,2,22021121
othello,random,mctsstrategy1000(random_strategy),2,22021123
othello,random,mctsstrategy1000(random_strategy),2,22021097
othello,alphabeta3,mctsstrategy1000(random_strategy),2,22021129
othello,mctsstrategies1000(random_strategy:mobility_strategy),mapbaseheuothello,2,22021094
othello,alphabeta3,random,1,22021157
hex,random,mctsstrategies1000(random_strategy:mobility_strategy),1,22021162
hex,alphabeta3,alphabeta3,2,22021163
othello,mctsrave1000,mapbaseheuothello,2,22021151
hex,mctsstrategy1000(random_strategy),alphabeta3,1,22021077
hex,mcts1000,mctsstrategy1000(random_strategy),2,22021091
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021076
othello,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021140
othello,greedy,mcts1000,2,22021132
othello,mapbaseheuothello,random,1,22021090
othello,greedy,greedy,0,22021121
othello,random,alphabeta3,2,22021149
othello,mapbaseheuothello,mctsstrategy1000(random_strategy),2,22021149
othello,mctsrave1000,greedy,1,22021089
othello,mctsstrategy1000(random_strategy),mctsstrategies1000(random_strategy:mobility_strategy),2,22021142
othello,random,mctsstrategies1000(random_strategy:mobility_strategy),2,22021128
hex,random,mcts1000,2,22021082
hex,mcts1000,mctsstrategy1000(random_strategy),2,22021076
othello,mctsstrategy1000(random_strategy),greedy,1,22021080
othello,mcts1000,mctsrave1000,2,22021142
othello,mctsstrategy1000(random_strategy),alphabeta3,2,22021088
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021109
othello,random,mctsrave1000,2,22021138
othello,greedy,random,2,22021140
hex,alphabeta3,mcts1000,2,22021160
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),1,22021151
hex,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,1,22021110
hex,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021134
othello,mcts1000,mapbaseheuothello,2,22021096
hex,mcts1000,random,1,22021132
